,Name
670,"Bassani, Gemma"
671,"Basser, Barrel"
672,"Bassewitz-Behr, von"
673,Basta
674,Bastian (Hauptmann Dr.)
675,"Bastian, Max"
676,"Bastianini, Giuseppe"
677,"Bastico, Ettore"
678,"Bastowski, Julius"
679,"Bata, József"
680,"Batkowski, Marian"
681,"Batory, Franciszek"
682,"Batory, John"
683,"Batren, Babo"
684,Battaglia
685,"Battel, Albert"
686,"Batz, Rudolph"
687,Batzker
688,"Bauchwitz, Martha"
689,"Bauchwitz, Max"
690,"Bauchwitz, Paul"
691,"Baudisch, Johann"
692,"Baudoin, Prince of Belgium"
693,Bauer
694,"Bauer, Anna"
695,"Bauer, Arthur"
696,"Bauer, Franz"
697,"Bauer, Fritz"
698,"Bauer, Hans Arthus"
699,"Bauer, Hans-Gustav"
700,"Bauer, Hinko"
701,"Bauer, Jakub"
702,"Bauer, Joachim"
703,"Bauer, Kaspar"
704,"Bauer, Ludwig"
705,"Bauer, Otto"
706,"Bauer, Riccardo"
707,"Bauer, Wilhelm"
708,"Bauer, Willy"
709,"Bauer, Yitzhak"
710,Baufeldt
711,"Bauknecht, Otto"
712,"Baum, Abe"
713,"Baum, Fiszel"
714,"Baum, Kurt"
715,"Baum, Moszek"
716,Baumann (Hauptmann)
717,"Baumann (née Forthofer), Johanna"
718,"Baumann, Carl"
719,"Baumann, Ernest"
720,"Baumann, Herbert"
721,"Baumann, Rolf"
722,Baumbach
723,Baumbauch (Oberstleutnant)
724,"Baumer, René"
725,"Baumerder, Maurycy"
726,"Baumgardt, Karl"
727,"Baumgart, Georg"
728,"Baumgart, Hans"
729,"Baumgart, Paul"
730,"Baumgarte, August"
731,Baumgarten
732,"Baumgarten, Jacques"
733,"Baumgartner, Andreas"
734,"Baumgartner, Franz"
735,"Baumgartner, Hans"
736,"Baumgärtel, Willi"
737,Baumgärtl (Oberstleutnant)
738,Baumgärtner
739,"Baumová, Irena"
740,"Baur, Bernard"
741,"Baur, Eleonore"
742,"Baus, Otto"
743,"Bausch, Heinz"
744,"Bausenhardt, Walter"
745,"Bavarskis, Chaimas"
746,"Bay, Oleksy"
747,"Bayarski, Zudl"
748,Bayer
749,"Bayer, Isolda (Sydomia)"
750,"Bayer, Salo"
751,Bayerlein
752,"Bayle (Leutnant). See Paillet (Leutnant) Beaulieu, Franz Herbert Charles de"
753,"Bazhalkin, Solomon"
754,"Bazin, Raymond"
755,"Bazykin, Boris Iakovlevich"
756,"Bačić, Dragomir"
757,"Bałc, Stanisław"
758,"Bašić, Josip"
759,"Beane, James B."
760,"Beau, Emil"
761,"Beaudouin, Eugène"
762,"Beaugrand, Georges"
763,"Beaumart, Franc"
764,"Bebel, August"
765,"Beber, Alfred"
766,Becher
767,"Becher, Hermann"
768,"Becher, Rudolf"
769,"Becherman, Haim"
770,"Bechi, Filip"
771,"Bechler, Käthe"
772,"Bechtelsheim, von. See: Bechtolsheim, Gustav von"
773,"Bechtolsheim, Gustav von"
774,Beck
775,"Beck, Friedrich"
776,"Beck, Markus"
777,"Beck, Paul"
778,"Beck, Richard"
779,Becke (Major)
780,Becker
781,Becker (Captain)
782,"Becker, Bruno"
783,"Becker, Elisabeth"
784,"Becker, Georg"
785,"Becker, Gerda"
786,"Becker, Gerhard"
787,"Becker, Hannjo"
788,"Becker, Henry"
789,"Becker, Josef"
790,"Becker, Otto"
791,"Becker, Richard"
792,"Becker, Walter"
793,"Becker, Walther"
794,"Becker, Werner"
795,"Becker, Wilhelm"
796,Beckmann
797,"Becu, Alfred"
798,"Beda, Apolonia"
799,Bederlein
800,"Bednarek, Emil"
